=========================================== EPC ===========================================
Number of Population=20 | D=10, Max Iter=100 | Total pairs=45 | Initial Fitness=50.729
Iter   72/100 | best=4.6711 | mu=0.024 | mutation=0.024
Iter   73/100 | best=4.5737 | mu=0.024 | mutation=0.024
Iter   74/100 | best=4.6535 | mu=0.024 | mutation=0.024
Iter   75/100 | best=4.5972 | mu=0.024 | mutation=0.024
Iter   76/100 | best=4.6197 | mu=0.024 | mutation=0.024
Iter   77/100 | best=4.5616 | mu=0.023 | mutation=0.023
Iter   78/100 | best=4.5810 | mu=0.023 | mutation=0.023
Iter   79/100 | best=4.5844 | mu=0.023 | mutation=0.023
Iter   80/100 | best=4.5307 | mu=0.023 | mutation=0.023
Iter   81/100 | best=4.6090 | mu=0.022 | mutation=0.022
Iter   82/100 | best=4.6354 | mu=0.022 | mutation=0.022
Iter   83/100 | best=4.6612 | mu=0.022 | mutation=0.022
Iter   84/100 | best=4.6254 | mu=0.022 | mutation=0.022
Iter   85/100 | best=4.6091 | mu=0.021 | mutation=0.021
Iter   86/100 | best=4.6062 | mu=0.021 | mutation=0.021
Iter   87/100 | best=4.5697 | mu=0.021 | mutation=0.021
Iter   88/100 | best=4.6072 | mu=0.021 | mutation=0.021
Iter   89/100 | best=4.6153 | mu=0.021 | mutation=0.021
Iter   90/100 | best=4.6375 | mu=0.020 | mutation=0.020
Iter   91/100 | best=4.5817 | mu=0.020 | mutation=0.020
Iter   92/100 | best=4.6118 | mu=0.020 | mutation=0.020
Iter   93/100 | best=4.6272 | mu=0.020 | mutation=0.020
Iter   94/100 | best=4.6198 | mu=0.020 | mutation=0.020
Iter   95/100 | best=4.6211 | mu=0.019 | mutation=0.019
Iter   96/100 | best=4.6513 | mu=0.019 | mutation=0.019
Iter   97/100 | best=4.6519 | mu=0.019 | mutation=0.019
Iter   98/100 | best=4.6349 | mu=0.019 | mutation=0.019
Iter   99/100 | best=4.6443 | mu=0.019 | mutation=0.019
Iter  100/100 | best=4.6312 | mu=0.018 | mutation=0.018

================ EPC Benchmark Summary ================
Sphere     | D=  10 | runs= 3 | mean=5.769052e+00 ± 3.742e+00 | best=1.862045e+00 | worst=1.081387e+01 | time=3.984s
